Listing,Address,First published date,Listing status,No of bedrooms,No of bathrooms,Price,Branch name,Branch address,Search views,normal detail views ,Premium detail views,normal click through rate,Premium Click through rate
3 bed house,"Strachey close, saffron walden",02/02/18,sale,3,2,"£200,000.00",Zoopla realtors,"Southwark, London",19483,8988,,46.13,0
4 bed semi-detached house,"somerset close, cambridge",03/02/18,sale,4,3,"£400,000.00",Zoopla realtors,"Southwark, London",40257,5052,,12.55,0
2 bed bungalow,"copper row, London",04/02/18,sale,2,1,"£600,000.00",Zoopla realtors,"Southwark, London",17099,5577,8816,32.62,51.56
1 bed studio,"Southwark, london",05/02/18,under offer,1,1,"£300,000.00",Zoopla realtors,"Southwark, London",7227,8415,5999,116.44,83.01
holiday apartment,"75006, Paris 6Ème, France",06/02/18,sale,1,1,"€795,000",French Realtors,"75006, Paris 6Ème, France",17469,2781,4410,15.92,25.24
5 bed detached house,"albemarle way, london",07/02/18,sold,5,3,"£800,000.00",Zoopla realtors,"Southwark, London",42262,3367,2477,7.97,5.86
4 bed semi-detached house,"Nusire road, Manchester",08/02/18,sale,4,2,"£200,000.00",Zoopla realtors,"Southwark, London",31587,2847,9658,9.01,30.58
3 bed bungalow,"Jamaica road, london",09/02/18,under offer,3,2,"£400,000.00",Zoopla realtors,"Southwark, London",28546,6890,6155,24.14,21.56
1 bed studio,"Rotherhithe way, London",10/02/18,sale,1,1,"£600,000.00",PSG realtors,"Braintree, Colchester",13020,5476,3499,42.06,26.87
2 bed holiday apartment,"Mansel way, London",11/02/18,sale,2,1,"£300,000.00",PSG realtors,"Braintree, Colchester",5886,4295,6800,72.97,115.53
2 bed flat,"Charming road, london",12/02/18,sale,2,1,"£400,000.00",PSG realtors,"Braintree, Colchester",30962,9135,3575,29.5,11.55
House boat for sale,"Tennis road, cambridge",13/02/18,sold_sstc,0,1,"£600,000.00",PSG realtors,"Braintree, Colchester",5795,4198,6371,72.44,109.94
3 bed house,"Colwin road, manchester",14/02/18,sale,3,1,"£300,000.00",PSG realtors,"Braintree, Colchester",23598,6412,5864,27.17,24.85
4 bed semi-detached house,"colbert road, birmingham",15/02/18,sale,4,2,"£400,000.00",PSG realtors,"Braintree, Colchester",37153,5775,3102,15.54,8.35
2 bed bungalow,"new road, newcastle-upon-tyne",16/02/18,sold_sstc,2,1,"£600,000.00",PSG realtors,"Braintree, Colchester",17486,876,4136,5.01,23.65
1 bed studio,"london road, Kent",17/02/18,sale,1,1,"£300,000.00",PSG realtors,"Braintree, Colchester",42087,2217,7658,5.27,18.2
holiday apartment,"93260, Paris 6Ème, France",18/02/18,under offer,2,2,"€995,000",French Realtors,"75006, Paris 6Ème, France",23740,8562,2351,36.07,9.9
5 bed detached house,"Scotland road, Brighton",19/02/18,sale,5,2,"£400,000.00",Jupix Realtors,"Thames way, London",37128,6673,4321,17.97,11.64
4 bed semi-detached house,"Glasgow road, Edinburgh",06/02/18,sale,4,2,"£600,000.00",Jupix Realtors,"Thames way, London",29722,2690,6686,9.05,22.5
3 bed bungalow,"radison road, Isle-of-wight",07/02/18,sold_sstc,3,2,"£300,000.00",Jupix Realtors,"Thames way, London",10557,6413,8489,60.75,80.41
1 bed studio,"glenn road, york",08/02/18,sale,1,1,"£600,000.00",Jupix Realtors,"Thames way, London",34354,4338,7533,12.63,21.93
2 bed holiday apartment,"salobrena, barcelona, Spain",09/02/18,sale,2,1,"€595,000",Mayfair International Realty,"A coruna, Galicia, Spain",15764,4922,9903,31.22,62.82
2 bed holiday apartment,"A coruna, Galicia, Spain",10/02/18,sale,2,1,"€495,000",Mayfair International Realty,"A coruna, Galicia, Spain",43871,3213,4377,7.32,9.98
2 bed flat,"Scotland road, Brighton",11/02/18,sale,2,1,"£600,000.00",Homesell ltd,"London road, Manchester",25579,1521,,5.95,0
House boat for sale,"Glasgow road, Edinburgh",06/02/18,sold_sstc,0,1,"£670,000.00",Homesell ltd,"London road, Manchester",11187,970,,8.67,0
3 bed house,"radison road, Isle-of-wight",07/02/18,sale,3,1,"£600,000.00",Homesell ltd,"London road, Manchester",46728,6696,,14.33,0
4 bed semi-detached house,"glenn road, york",28/02/18,sale,4,2,"£699,000.00",Homesell ltd,"London road, Manchester",30149,2265,,7.51,0
2 bed bungalow,"Tennison road, Northampton",28/02/18,sold_sstc,2,1,"£599,000.00",Homesell ltd,"London road, Manchester",48252,2710,,5.62,0
